year,category,indicator,dimension,value,unit,note
2021,工业,工业增加值,马来西亚,1408.5206,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, MYS)"
2022,工业,工业增加值,马来西亚,1589.4885,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, MYS)"
2023,工业,工业增加值,马来西亚,1502.4043,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, MYS)"
2024,工业,工业增加值,马来西亚,1561.1157,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, MYS)"
2019,人口,总人口,马来西亚,0.3344,亿人,"来源：世界银行OpenData(SP.POP.TOTL, MYS)"
2020,人口,总人口,马来西亚,0.3389,亿人,"来源：世界银行OpenData(SP.POP.TOTL, MYS)"
2021,人口,总人口,马来西亚,0.3428,亿人,"来源：世界银行OpenData(SP.POP.TOTL, MYS)"
2022,人口,总人口,马来西亚,0.347,亿人,"来源：世界银行OpenData(SP.POP.TOTL, MYS)"
2023,人口,总人口,马来西亚,0.3513,亿人,"来源：世界银行OpenData(SP.POP.TOTL, MYS)"
2024,人口,总人口,马来西亚,0.3556,亿人,"来源：世界银行OpenData(SP.POP.TOTL, MYS)"
2019,贸易,货物服务出口总额,马来西亚,2383.7986,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, MYS)"
2020,贸易,货物服务出口总额,马来西亚,2077.9854,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, MYS)"
2021,贸易,货物服务出口总额,马来西亚,2640.1545,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, MYS)"
2022,贸易,货物服务出口总额,马来西亚,3132.4564,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, MYS)"
2023,贸易,货物服务出口总额,马来西亚,2746.8108,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, MYS)"
2024,贸易,货物服务出口总额,马来西亚,3012.2133,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, MYS)"
2019,贸易,货物服务进口总额,马来西亚,2108.9304,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, MYS)"
2020,贸易,货物服务进口总额,马来西亚,1863.1038,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, MYS)"
2021,贸易,货物服务进口总额,马来西亚,2369.9039,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, MYS)"
2022,贸易,货物服务进口总额,马来西亚,2839.1859,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, MYS)"
2023,贸易,货物服务进口总额,马来西亚,2556.257,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, MYS)"
2024,贸易,货物服务进口总额,马来西亚,2787.6054,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, MYS)"
2019,综合,通货膨胀率(CPI),马来西亚,0.6629,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, MYS)"
2020,综合,通货膨胀率(CPI),马来西亚,-1.1387,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, MYS)"
2021,综合,通货膨胀率(CPI),马来西亚,2.4771,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, MYS)"
2022,综合,通货膨胀率(CPI),马来西亚,3.3787,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, MYS)"
2023,综合,通货膨胀率(CPI),马来西亚,2.4889,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, MYS)"
2024,综合,通货膨胀率(CPI),马来西亚,1.8341,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, MYS)"
2019,人口,预期寿命,马来西亚,75.9,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, MYS)"
2020,人口,预期寿命,马来西亚,76.057,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, MYS)"
2021,人口,预期寿命,马来西亚,73.917,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, MYS)"
2022,人口,预期寿命,马来西亚,75.444,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, MYS)"
2023,人口,预期寿命,马来西亚,76.657,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, MYS)"
2024,人口,预期寿命,马来西亚,76.821,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, MYS)"
